index,movie_title,release_date,genre,inflation_adjusted_gross,divided
322,Gun Shy,2000,Comedy,2562155,2562,155
323,The Tigger Movie,2000,Adventure,71228678,71228,678
324,Mission to Mars,2000,Adventure,95208344,95208,344
325,High Fidelity,2000,Comedy,42661516,42661,516
326,Keeping the Faith,2000,Romantic Comedy,57925202,57925,202
327,Dinosaur,2000,Adventure,215438985,215438,985
328,Shanghai Noon,2000,Western,89042541,89042,541
329,Gone in 60 Seconds,2000,Action,158970411,158970,411
330,Fantasia 2000 (Theatrical Release),2000,Musical,14238144,14238,144
331,The Kid,2000,Comedy,108993148,108993,148
332,Coyote Ugly,2000,Drama,95070168,95070,168
333,The Crew,2000,Comedy,20362201,20362,201
334,Duets,2000,Drama,7404372,7404,372
335,Remember the Titans,2000,Drama,180742479,180742,479
336,Unbreakable,2000,Thriller/Suspense,148208901,148208,901
337,102 Dalmatians,2000,Comedy,104055039,104055,039
338,The Emperors New Groove,2000,Adventure,136789252,136789,252
339,O Brother Where Art Thou?,2000,Comedy,67922002,67922,002
340,Double Take,2001,Action,44418589,44418,589
341,Recess: Schools Out,2001,Comedy,54656124,54656,124
342,Just Visiting,2001,Comedy,7114869,7114,869
343,Pearl Harbor,2001,Action,295705112,295705,112
344,Atlantis: The Lost Empire,2001,Adventure,125188122,125188,122
345,crazy/beautiful,2001,Drama,25214223,25214,223
346,The Princess Diaries,2001,Comedy,161218928,161218,928
347,Bubble Boy,2001,Comedy,7450434,7450,434
348,Max Keebles Big Move,2001,Comedy,25749730,25749,73
349,Corky Romano,2001,Comedy,35705805,35705,805
350,High Heels and Low Lifes,2001,Unknown,337782,337,782
351,Monsters Inc,2001,Adventure,416073179,416073,179
352,Out Cold,2001,Comedy,20700691,20700,691
353,The Royal Tenenbaums,2001,Black Comedy,76758193,76758,193
354,Beauty and the Beast (IMAX),2002,Musical,36980311,36980,311
355,Frank McKlusky CI,2002,Unknown,0,0
356,Snow Dogs,2002,Comedy,117745317,117745,317
357,The Count of Monte Cristo,2002,Drama,78682079,78682,079
358,Peter Pan: Return to Neverland,2002,Adventure,70269715,70269,715
